name_custom,name_un,name_forbes
afghanistan,afghanistan,NA
albania,albania,NA
algeria,algeria,NA
american samoa,american samoa,NA
andorra,andorra,NA
angola,angola,NA
anguilla,anguilla,NA
antigua and barbuda,antigua and barbuda,NA
argentina,argentina,argentina
armenia,armenia,NA
aruba,aruba,NA
australia,australia,australia
austria,austria,austria
azerbaijan,azerbaijan,NA
bahamas,bahamas,NA
bahrain,bahrain,bahrain
bangladesh,bangladesh,NA
barbados,barbados,NA
belarus,belarus,NA
belgium,belgium,belgium
belize,belize,NA
benin,benin,NA
bermuda,bermuda,bermuda
bhutan,bhutan,NA
bolivia (plurinational state of),bolivia (plurinational state of),NA
bosnia and herzegovina,bosnia and herzegovina,NA
botswana,botswana,NA
brazil,brazil,brazil
british virgin islands,british virgin islands,NA
brunei darussalam,brunei darussalam,NA
bulgaria,bulgaria,NA
burkina faso,burkina faso,NA
burundi,burundi,NA
côte d'ivoire,côte d'ivoire,NA
cabo verde,cabo verde,NA
cambodia,cambodia,NA
cameroon,cameroon,NA
canada,canada,canada
caribbean netherlands,caribbean netherlands,NA
cayman islands,cayman islands,NA
central african republic,central african republic,NA
chad,chad,NA
channel islands,channel islands,NA
chile,chile,chile
china,china,china
"china, hong kong sar","china, hong kong sar",hong kong
"china, macao sar","china, macao sar",NA
"china, taiwan province of china","china, taiwan province of china",taiwan
colombia,colombia,colombia
comoros,comoros,NA
congo,congo,NA
cook islands,cook islands,NA
costa rica,costa rica,NA
croatia,croatia,NA
cuba,cuba,NA
curaçao,curaçao,NA
cyprus,cyprus,cyprus
czechia,czechia,czech republic
dem. people's republic of korea,dem. people's republic of korea,NA
democratic republic of the congo,democratic republic of the congo,NA
denmark,denmark,denmark
djibouti,djibouti,NA
dominica,dominica,NA
dominican republic,dominican republic,NA
ecuador,ecuador,NA
egypt,egypt,NA
el salvador,el salvador,NA
equatorial guinea,equatorial guinea,NA
eritrea,eritrea,NA
estonia,estonia,NA
ethiopia,ethiopia,NA
faeroe islands,faeroe islands,NA
falkland islands (malvinas),falkland islands (malvinas),NA
fiji,fiji,NA
finland,finland,finland
france,france,france
french guiana,french guiana,NA
french polynesia,french polynesia,NA
gabon,gabon,NA
gambia,gambia,NA
georgia,georgia,NA
germany,germany,germany
ghana,ghana,NA
gibraltar,gibraltar,NA
greece,greece,greece
greenland,greenland,NA
grenada,grenada,NA
guadeloupe,guadeloupe,NA
guam,guam,NA
guatemala,guatemala,NA
guinea,guinea,NA
guinea-bissau,guinea-bissau,NA
guyana,guyana,NA
haiti,haiti,NA
holy see,holy see,NA
honduras,honduras,NA
hungary,hungary,hungary
iceland,iceland,NA
india,india,india
indonesia,indonesia,indonesia
iran (islamic republic of),iran (islamic republic of),NA
iraq,iraq,NA
ireland,ireland,ireland
isle of man,isle of man,NA
israel,israel,israel
italy,italy,italy
