iso_code,region_name
900,world
902,less developed regions
1517,middle-income countries
934,"less developed regions, excluding least developed countries"
948,"less developed regions, excluding china"
935,asia
1501,lower-middle-income countries
1502,upper-middle-income countries
921,south-central asia
5501,southern asia
906,eastern asia
901,more developed regions
903,africa
1503,high-income countries
947,sub-saharan africa
941,least developed countries
908,europe
1500,low-income countries
920,south-eastern asia
904,latin america and the caribbean
931,south america
910,eastern africa
914,western africa
905,northern america
923,eastern europe
922,western asia
912,northern africa
926,western europe
916,central america
911,middle africa
925,southern europe
924,northern europe
5500,central asia
913,southern africa
915,caribbean
909,oceania
927,australia/new zealand
928,melanesia
638,réunion
957,polynesia
